Bangla,Chatgaya
"এই দোকানের কাপড়গুলো অনেক দামি, আমরা অন্য দোকানে দেখি","এই দোয়ানুর হর এগিন বৌত দামি, আঁরা অন্য দোয়ানুত চাই"
আজকে দুপুরে একটা বিয়ের দাওয়াত ছিল,আজিয়ে দুইজ্জে এক্কান বিয়ের দঅত আছিল
"তাড়াতাড়ি ঘরে চলে এসো, বৃষ্টিতে ভিজলে অসুখ হয়ে যাবে","তারাতারি ঘরুত চলি আইয়্যু, বৃষ্টিত ভিজিলি অসুখ অই যাইবু"
"কতক্ষণ ধরে বরশি নিয়ে বসে আছি, একটা মাছও ধরতে পারিনি","হতক্ষন ধরি বরকি লই বই থেইক্কি, উজ্ঞো মাছও ধরিত ন পারি"
"আমাদের এখানে ঘুরার জন্য অনেক জায়গা আছে, আশা করি তোমার ভালো লাগবে","আঁরার এনডে ঘুরিবের লাই বৌত জাগা আছে, আশা গরি তোঁয়ার ভালা লাগিবু"
"তোমার সাহস তো কম না, তুমি অন্য গ্রামের হয়ে এই গ্রামের মেয়েকে ডিস্টার্ব করো!","তোঁয়ার সাহস তো হম নো, তুঁই অন্য গ্রামুর অইয়্যিরে এই গ্রামুর মেইফুওয়ারে ডিস্টার্ব গরো!"
বেশি কথা বললে ঘাড়ে একটা দিব,বেশি মাথিলি ঘেঢ়ি বেরাই উজ্ঞো দিয়্যুম
"ভাই, আমাকে নতুন ব্রিজে নামিয়ে দিয়েন, যদি ঘুমিয়ে যাই","বদ্দা, আঁরে নতুন ব্রিজ নামায় দিইয়্যুন যদি ঘুম যাইগুই"
"ভাই, আসেন আমাদের বাসে উঠেন, আমাদের বাসে নামাজ পড়ার সুবিধা আছে","বদ্দা, আইয়্যুন আঁরার বাসুত উডোন, আঁরার বাসুত নামাজ ফরিবের সুবিধে আছে"
গোসল করিস না প্রতিদিন? গা দিয়ে কেমন গন্ধ বের হচ্ছে,গোসল নগরস ফইত্তুদিন? গা'আদ্দি কেন গন্ধ বাইর অর
"আমাদের বাড়িতে এত এত মেহমান আসে, তাদের খাওয়াতে খাওয়াতে সব চাওল শেষ হয়ে যায়","আঁরো বারিত এত এত মেমান আইয়্যি, ইতারারে হাবাইতে হাবাইতে বিয়াক চইল শেষ অই যায়"
আমার সবচেয়ে খারাপ সময়ে আমার কোনো বন্ধু পাশে ছিল না,আঁর বিয়াজ্ঞুনুত্তুন হারাপ সময়ুত আঁর হনো বন্ধু পাশে ন আছিল
এবার গাছে অনেক আম ধরেছে,এবার গাছোত বৌত আম ধইজ্জি
আত্মীয়ের মধ্যে আত্মীয়তা করা ঠিক না,আত্মীয়ের মধ্যে আত্মীয়তা গরন ভালা ন
