Chatgaya,Bangla
"আজিয়ে অফিসুত এক্কান গুরুত্বপুর্ণ মিটিং আছে, এক্কানা দোয়া গইজ্জো","আজকে অফিসে একটা গুরুত্বপূর্ণ মিটিং আছে, একটু দোয়া করিও"
"বাইরে বৌত ঠান্ডা, এই হম্বল ইয়েন মানুষ ইবেরে দি আয়","বাইরে অনেক ঠান্ডা, এই কম্বলটা মানুষটাকে দিয়ে আয়"
"তুঁই যহন আঁর মাথাত আত বুলাই দও, তহন আঁর মনোত্তুন বিয়াক দুখ চলি যায়","তুমি যখন আমার মাথায় হাত বুলিয়ে দাও, তখন আমার মন থেকে সব দুঃখ চলে যায়"
আজিয়ে দুইজ্জে এক্কান বিয়ের দঅত আছিল,আজকে দুপুরে একটা বিয়ের দাওয়াত ছিল
ঈদুর দিন রান্না গরিবের লাই পোলও উর চইল লই আইয়্যুন,ঈদের দিন রান্না করার জন্য পোলাওয়ের চাল নিয়ে আসেন
"হতক্ষন ধরি বরকি লই বই থেইক্কি, উজ্ঞো মাছও ধরিত ন পারি","কতক্ষণ ধরে বরশি নিয়ে বসে আছি, একটা মাছও ধরতে পারিনি"
"চট্টগ্রাম উত্তুন সিলেট বৌত দূরে, আঁরা হাছে হনোমিক্কে যাই","চট্টগ্রাম থেকে সিলেট অনেক দূরে, আমরা কাছে কোথাও যাই"
আঁই বৌত হতক্ষন ধরি তোঁয়ার লাই অপেক্ষা গরির,আমি অনেকক্ষণ ধরে তোমার জন্য অপেক্ষা করছি
"তুঁই ঘরুর বরো ফুওয়া অইবের পরও যদি নো বুঝো, তইলি কেনে অইবু","তুমি ঘরের বড় ছেলে হওয়ার পরও যদি না বোঝো, তাহলে কেমনে হবে"
রাতিয়ে ন হায় ঘুমাইলি বেইন্নে উডি দুর্বল লাগিবু,রাতে না খেয়ে ঘুমালে সকালে উঠে দুর্বল লাগবে
আত্তুন কেনে জানি মনে অদ্দে তুঁই এনডেই আছিলে,"আমার কেন জানি মনে হচ্ছে, তুমি ওখানে ছিলে"
"আঁরা যদি গুসসা ইয়েন নিয়ন্ত্রন গরিত পারি, তইলি আঁরা বৌত ভালা থাইক্কুম","আমরা যদি রাগটা নিয়ন্ত্রণ করতে পারি, তাহলে আমরা অনেক ভালো থাকব"
"আঁরো বারিত এত এত মেমান আইয়্যি, ইতারারে হাবাইতে হাবাইতে বিয়াক চইল শেষ অই যায়","আমাদের বাড়িতে এত এত মেহমান আসে, তাদের খাওয়াতে খাওয়াতে সব চাওল শেষ হয়ে যায়"
অঁনোর দোয়ানুর জিনিস ভালা বলি এনডে আইস্যি,আপনার দোকানের জিনিস ভাল বলে এখানে আসলাম
এবার গাছোত বৌত আম ধইজ্জি,এবার গাছে অনেক আম ধরেছে
গরম বেশি ফরিবের হারনে স্কুল-কলেজ বন্ধ গরি দিইয়্যি,গরম বেশি পড়ার কারণে স্কুল-কলেজ বন্ধ করে দিয়েছে
